gpsTime, uid, latitude, longitude, altitude, rssi
0000-01-01 14:38:41.000, 1435706f, -37.548986666666664, 175.26212666666666, 116.141736, {Port 1: -59, Port 2: -57}
0000-01-01 14:38:43.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:38:45.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -57, Port 2: -58}
0000-01-01 14:38:47.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -61, Port 2: -58}
0000-01-01 14:38:49.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -61, Port 2: -58}
0000-01-01 14:38:51.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -58, Port 2: -59}
0000-01-01 14:38:53.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -60, Port 2: -59}
0000-01-01 14:38:55.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -62, Port 2: -58}
0000-01-01 14:38:57.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.81365199999999, {Port 1: -60, Port 2: -58}
0000-01-01 14:38:59.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.48556800000001, {Port 1: -61, Port 2: -59}
0000-01-01 14:39:01.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.48556800000001, {Port 1: -58, Port 2: -59}
0000-01-01 14:39:03.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.48556800000001, {Port 1: -57, Port 2: -58}
0000-01-01 14:39:05.000, 1435706f, -37.548986666666664, 175.26212666666666, 115.48556800000001, {Port 1: -57, Port 2: -58}
0000-01-01 14:39:07.000, 1435706f, -37.548986666666664, 175.26212666666666, 113.517064, {Port 1: -61, Port 2: -58}
0000-01-01 14:39:09.000, 1435706f, -37.548988333333334, 175.26212666666666, 111.54856, {Port 1: -59, Port 2: -58}
0000-01-01 14:39:11.000, 1435706f, -37.548988333333334, 175.26212666666666, 111.54856, {Port 1: -56, Port 2: -56}
0000-01-01 14:39:13.000, 1435706f, -37.548988333333334, 175.26212666666666, 111.54856, {Port 1: -56, Port 2: -57}
0000-01-01 14:39:15.000, 1435706f, -37.548988333333334, 175.26212666666666, 111.54856, {Port 1: -55, Port 2: -57}
0000-01-01 14:39:17.000, 1435706f, -37.548988333333334, 175.26212666666666, 111.54856, {Port 1: -56, Port 2: -57}
0000-01-01 14:39:19.000, 1435706f, -37.548988333333334, 175.26212666666666, 111.22047599999999, {Port 1: -58, Port 2: -56}
0000-01-01 14:39:21.000, 1435706f, -37.548988333333334, 175.26212666666666, 111.22047599999999, {Port 1: -58, Port 2: -56}
0000-01-01 14:39:23.000, 1435706f, -37.548988333333334, 175.26212666666666, 110.56430800000001, {Port 1: -57, Port 2: -55}
0000-01-01 14:39:25.000, 1435706f, -37.548988333333334, 175.26212666666666, 108.923888, {Port 1: -58, Port 2: -56}
0000-01-01 14:39:27.000, 1435706f, -37.548988333333334, 175.26212666666666, 108.26772, {Port 1: -59, Port 2: -56}
0000-01-01 14:39:29.000, 1435706f, -37.548988333333334, 175.26212666666666, 108.26772, {Port 1: -58, Port 2: -56}
0000-01-01 14:39:31.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -58, Port 2: -57}
0000-01-01 14:39:33.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -58, Port 2: -57}
0000-01-01 14:39:35.000, 1435706f, -37.548988333333334, 175.26212666666666, 107.939636, {Port 1: -58, Port 2: -58}
